Nombre;Dorsal;Equipo;Marca;Categoria
Marc Marquez;93;Ducati Lenovo;Ducati;MotoGP
Francesco Bagnaia;63;Ducati Lenovo;Ducati;MotoGP
Alex Marquez;73;Gresini;Ducati;MotoGP
Fermin Aldeguer;54;Gresini;Ducati;MotoGP
Fabio Di Giannantonio;49;VR46;Ducati;MotoGP
Franco Morbidelli;21;VR47;Ducati;MotoGP
Marco Bezzecchi;72;Aprilia Racing;Aprilia;MotoGP
Jorge Martin;89;Aprilia Racing;Aprilia;MotoGP
Raul Fernandez;25;Trackhouse;Aprilia;MotoGP
Ai Ogura;79;Trackhouse;Aprilia;MotoGP
Pedro Acosta;37;KTM Factory;KTM;MotoGP
Brad Binder;33;KTM Factory;KTM;MotoGP
Enea Bastianini;23;Tech3;KTM;MotoGP
Maverick Vinales;12;Tech3;KTM;MotoGP
Joan Mir;36;Honda HRC;Honda;MotoGP
Luca Marini;10;Honda HRC;Honda;MotoGP
Diogo Moreira;11;Honda LCR;Honda;MotoGP
Johann Zarco;5;Honda LCR;Honda;MotoGP
Fabio Quartararo;20;Monster Energy Yamaha;Yamaha;MotoGP
Alex Rins;42;Monster Energy Yamaha;Yamaha;MotoGP
Jack Miller;43;Pramac;Yamaha;MotoGP
Toprak Razgatlioglu;7;Pramac;Yamaha;MotoGP
